foundation_ein,foundation_name,state,website_url,total_assets,annual_giving,total_grants_made,pf_to_pf_grant_count,pf_to_pf_total_amount,ca_grant_count,veteran_grant_count,veteran_grant_amount,target_grant_count,lasso_score,open_to_applicants,gives_in_ca,funds_pfs,latest_tax_year,source,known_funder,filter_passes,failed_filters,description,phone,app_contact_email,app_contact_name
481224688,Delano Family Charitable Foundation,KS,N/A,907762,29060,104,3,3500,1,6,22982,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8309000103,,
311742284,MTA FOUNDATION INC,AK,MTAFOUNDATION.ORG,316093,167088,404,3,6786,0,6,7000,0,,True,False,True,2023,keyword,False,2,CA Geography,,9077453211,SCHOLARSHIP@MTAFOUNDATION.ORG,TRACY RESSLER
137106277,THE SEXTON FAMILY FOUNDATION,FL,N/A,11303242,512160,399,3,15000,18,5,175000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2062754600,,
596808046,LEOFFLER TRUST,MD,,314318,32928,174,3,4900,15,5,2664,0,,False,True,True,2022,keyword,False,2,Open to Applicants,,4102632740,,
841395820,JAMES & WANDA HOLLENSTEINER FOUNDATION,MT,"Legal Notice published in THE LEADER NEWSPAPER, Polson MT",4928124,144995,321,3,2000,7,5,3950,0,,False,True,True,2024,keyword,False,2,Open to Applicants,Admin expenses,4068442976,,
462345457,JTMF Foundation,DE,,274763075,4094725,237,3,1005000,4,5,359000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8008391754,,
200274173,THE ROETHELI - LIL RED - FOUNDATION,MO,LILREDFOUNDATION.ORG,10307691,297233,111,3,2800,3,5,74625,0,,False,True,True,2024,keyword,False,2,Open to Applicants,CHARITABLE INVESTMENT - THE ROETHELI WORLD TOUR,8169948460,,
862670774,Justamere Foundation,DE,,25512064,1542706,292,3,56711,3,5,385500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8008391754,,
392003427,DUDLEY FOUNDATION INC,WI,DUDLEYFOUNDATIONWAUSAU.ORG,9608465,216614,96,3,29938,0,5,28000,0,,True,False,True,2022,keyword,False,2,CA Geography,,7158495729,,DUDLEY FOUNDATION ATTN ANDREW DUDLE
946065205,SWIG FOUNDATION,CA,N/A,5527018,709850,1234,3,7500,846,4,15500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,4152911100,,CAROLYN FERRIS
770472642,THE FOLEY FAMILY CHARITABLE FOUNDATION,MT,N/A,42898342,3536273,145,3,525000,58,4,1770000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,9048548928,,
582663615,DAN AND MERRIE BOONE FOUNDATION INC,SC,N/A,11108711,454278,500,3,7500,17,4,2500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,4045830312,,
463709161,KAREN ALICE NILSEN OLSEN,CO,https://www.grantable.co/search/funders/profile/karen-alice-nilsen-olsen-us-foundation-463709161,474355,59800,88,3,15000,6,4,11000,0,,False,True,True,2024,keyword,False,2,Open to Applicants,MISC,3033962322,,
844039569,DAVID S BAUM FOUNDATION INC,FL,N/A,6771340,329399,124,3,32000,6,4,37000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2394722372,,
461606886,THE CHURCHILL FOUNDATION,TN,N/A,3702307,201102,310,3,4500,5,4,5500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,6157675197,,
471668585,RINEHART FAMILY FOUNDATION,TX,https://www.zeffy.com/organization/rinehart-family-foundation-texas,165209,37593,64,3,4500,1,4,4500,0,,False,True,True,2024,keyword,False,2,Open to Applicants,FMV to cost: XOM stock,,,
814655987,HEIN LEGACY FOUNDATION,WA,HTTPS://HEINLEGACYFOUNDATION.ORG/,2699642,129458,275,3,2000,0,4,7000,0,,True,False,True,2024,keyword,False,2,CA Geography,GRANT REFUND,5096744414,,HEIN LEGACY FOUNDATION MELISSA BECK
134238878,THE ERKILETIAN FAMILY FOUNDATION,VA,https://opencorpdata.com/us-va/05887906,5645324,288636,144,3,6000,33,3,21875,0,,False,True,True,2024,keyword,False,2,Open to Applicants,BASIS ADJUSTMENT,7036714400,,
363100492,THE SIRAGUSA FAMILY FOUNDATION,IL,WWW.SIRAGUSA.ORG,18491499,699672,365,3,30000,24,3,30000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,3127550064,,
263035459,THE MERCHANTS BONDING COMPANY FOUNDATION,IA,N/A,1015002,240474,447,3,1300,19,3,65000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,5152438171,,
366086377,The Torosian Foundation,MO,N/A,641653,62778,464,3,400,18,3,788,0,,False,True,True,2022,keyword,False,2,Open to Applicants,,8163632967,,
593773771,ABE LITTENBERG FOUNDATION INC,NJ,N/A,9493496,461445,158,3,90000,8,3,50000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,7324959480,,
202371917,ROBERT I GOLDMAN FOUNDATION,NY,N/A,12576080,469000,110,3,137500,4,3,15000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2126612480,,
311483132,DEWINE FAMILY FOUNDATION INC,OH,N/A,16613433,598334,504,3,1350,2,3,600,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,5135333561,,
881680634,STAKE CLUB CHARITABLE FOUNDATION,AZ,N/A,44283,33114,33,3,48667,1,3,50109,0,,False,True,True,2023,keyword,False,2,Open to Applicants,MERCHANT PROCESSING FEES,6027439688,,
832286564,YEO & YEO FOUNDATION,MI,NONE,78205,97068,257,3,3440,0,3,4755,0,,True,False,True,2023,keyword,False,2,CA Geography,,9897939830,MICTRI@YEOANDYEO.COM,MICHAEL TRIBBLE
954442308,FREDERICK R WEISMAN PHILANTHROPIC,CA,WWW.WEISMANFOUNADTION.ORG,1507593,79400,154,3,3000,144,2,3000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,3102715522,,
203872547,GOODALL FAMILY CHARITABLE FOUNDATION,CA,https://www.bizprofile.net/ca/ventura/the-goodall-family-charitable,2047308,103556,59,3,9500,38,2,480,0,,False,True,True,2024,keyword,False,2,Open to Applicants,INVESTMENT INCOME RECEIVABLE,8059075543,,
137039631,THE RIGGIO FOUNDATION,NY,https://www.newyorker.com/culture/personal-history/the-strange-story-of-a-secret-literary-fellowship,68043670,2303102,358,3,254000,8,2,26575,0,,False,True,True,2023,keyword,False,2,Open to Applicants,ADJUSTMENT TO BASIS OF MARKETABLE,2126333375,,
943235979,THE A&V KULAEV CULTURAL HERITAGE FUND,CA,N/A,1402974,158200,55,3,53000,7,2,27000,0,,False,True,True,2024,keyword,False,2,Open to Applicants,COST BASIS ADJUSTMENT - INVESTMENTS TO BOOK VALUE,3039380691,,
046875099,THE ROBERT AND MICHELLE COOKE ATCHINSON,MA,N/A,107933032,2826115,184,3,75000,6,2,30000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,7818630458,,
260849353,SHANKLIN FOUNDATION,MA,N/A,4491769,192919,32,3,395668,3,2,12500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,6173451000,,
262169815,THE REH FAMILY FOUNDATION,NY,https://upstategiving.com/reh-family-foundation,4667373,228849,119,3,30000,1,2,7000,0,,False,True,True,2024,keyword,False,2,Open to Applicants,NYS FILING FEE,5859246201,,
462263025,CHILI-N-CHERRIES CHARITY INC,KS,https://archive.org/stream/KSULKSColl197071V77N2251/KSUL_KS+Coll_1970-71_v77_n22-51_djvu.txt,222760,12412,36,3,4100,1,2,950,0,,False,True,True,2024,keyword,False,2,Open to Applicants,loss of stock equity due to stressed stock market conditions,8166747495,,
043371516,Avidia Charitable Foundation Inc,MA,N/A,4479449,176800,272,3,7500,0,2,4400,0,,True,False,True,2023,keyword,False,2,CA Geography,,9785673569,,Margaret B Melo Sullivan
222558699,ROBINSON-BROADHURST FOUNDATION INC,NY,WWW.ROBINSONBROADHURST.ORG,37873533,4344872,523,3,43250,0,2,13000,0,,True,False,True,2023,keyword,False,2,CA Geography,,6076522508,,DONALD E VAN ETTEN
383530854,CHARLES F YEAGER FOUNDATION INC,MI,https://www.researchgate.net/profile/Charles-Yeager,65033,6422,41,3,4450,0,2,2600,0,,True,False,True,2024,keyword,False,2,CA Geography,ANNUAL REPORT,2484641902,,MARK ZUREK YEAGER FOUNDATION INC
421308146,Grinnell Mutual Group Foundation,IA,jennifer.bebout@grinnellmutual.com,1162,263880,322,3,11500,0,2,50000,0,,True,False,True,2023,keyword,False,2,CA Geography,,,,GMG Foundation Scholarship
464166996,HOLLE FAMILY FOUNDATION,AL,WWW.HOLLEFOUNDATION.ORG,47915584,1373871,151,3,3000,0,2,115000,0,,True,False,True,2023,keyword,False,2,CA Geography,,2056230147,MANAGER@CAWACO.ORG,HOLLE FAMILY FOUNDATION
550685612,JOHN M BROWN FAMILY FOUNDATION,OH,,2518109,91595,99,3,31000,0,2,8000,0,,True,False,True,2023,keyword,False,2,CA Geography,,6143319892,,JOHN MATTHEW OR GAY BROWN
556085230,GEORGE D HOTT FOUNDATION,OH,,2521607,93095,103,3,31000,0,2,8000,0,,True,False,True,2023,keyword,False,2,CA Geography,,3043484582,,GEORGE HOTT MEMORIAL FOUNDATION
731503823,ONEOK FOUNDATION INC,OK,,26072223,3018482,636,3,24649,0,2,35000,0,,True,False,True,2023,keyword,False,2,CA Geography,,9185887000,WWW.ONEOK.COM/ABOUT-US/COMMUNITY-INVESTMENTS,CHRISSY JENNINGS
820530529,IDAHO POWER FOUNDATION INC,ID,N/A,2902171,156920,166,3,7000,0,2,5000,0,,True,False,True,2023,keyword,False,2,CA Geography,,2083886757,MKENDALL@IDAHOPOWER.COM,MANDY KENDALL
831667718,ROBERT R NATHAN PHILANTHROPIC FUND,IL,N/A,258618,124624,33,3,15000,0,2,81000,0,,True,False,True,2023,keyword,False,2,CA Geography,,3126063247,,ROBERT NATHAN
330466189,LEICHTAG FOUNDATION,CA,WWW.LEICHTAG.ORG,83247408,3230520,1450,3,12000,935,1,15000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,GRANT ADJUSTMENTS,7609291090,,
237216373,FARALLON FOUNDATION,CA,guidestar.org,8015170,553173,745,3,11500,356,1,500,0,,False,True,True,2024,keyword,False,2,Open to Applicants,BANK AND PROFESSIONAL SERVICES,4257655551,,
203944602,THE MICHELSON FOUND ANIMALS FOUNDATION INC,CA,WWW.FOUNDANIMALS.ORG,14432052,659990,545,3,68452,232,1,2500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,3108069700,,
330655933,BANDAI NAMCO FOUNDATION OF AMERICA,CA,N/A,6290031,257215,305,3,7000,220,1,4000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,9495538800,,
201968695,THE KIRKORIAN FAMILY FOUNDATION,CA,https://mariuccifamilyfoundation.org,82408,132480,144,3,23000,139,1,5000,0,,False,True,True,2024,keyword,False,2,Open to Applicants,,4083794547,,
954834371,MACTON FOUNDATION,CA,N/A,79630,89850,151,3,20000,130,1,500,0,,False,True,True,2024,keyword,False,2,Open to Applicants,BOOK/TAX ADJUST TO BASIS,3235376207,,
813840186,FIND YOUR GRIND FOUNDATION,CA,WWW.FYGFOUNDATION.COM,1337770,467100,121,3,160000,102,1,10000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,6317536300,,
262336633,The Morgridge Family Foundation,DE,www.morgridgefamilyfoundation.org,244345023,7425483,675,3,600000,31,1,50000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8008391754,,
336231821,SAMBAR PRIVATE FOUNDATION,CA,N/A,254065,88100,42,3,22500,30,1,2500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,9492359789,,
382707908,MERVYN H & LESLIE D STERNBERG,FL,https://et.cybo.com/US-kontakt/lakeside-club-condominium/Merv+Sternberg,320202,11713,157,3,2500,30,1,50,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2483023838,,
137385769,VIRGINIA B TOULMIN CHARITABLE,NJ,WWW.TOULMINFOUNDATION.ORG,118805246,3970755,633,3,32500,20,1,10000,0,,False,True,True,2022,keyword,False,2,Open to Applicants,,2012182173,,
203926141,Spector Family Foundation,DE,,26368661,872754,137,3,56521,17,1,5000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8008391754,,
474259772,The Rob Walton Foundation,AR,https://robwaltonfoundation.org/,430040308,33677989,253,3,1000000,13,1,700000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,4794641570,,
061603870,THE ROCK FOUNDATION,FL,https://therockfoundations.com/the-rock-johnson-foundation-website,18661065,955460,74,3,15000,10,1,5800,0,,False,True,True,2024,keyword,False,2,Open to Applicants,OTHER RECEIVABLE,2038696734,,
471051277,David Kelby Johnson,UT,www.dkjmemorial.org,39754514,1298568,355,3,29900,8,1,5000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8013590751,,
813395492,SMART FAMILY FOUNDATION OF NEW YORK,NY,N/A,49795706,2131300,376,3,384000,6,1,25000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,9146322762,,
371501785,HUTCHINS FAMILY FOUNDATION INC,NY,WWW.HUTCHINSFAMILYFOUNDATION.ORG,19641560,5970178,140,3,2010000,4,1,5000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,9293940002,,
113524899,BARBARA & EDWARD SCHLUSSEL FDN INC,FL,N/A,763056,41537,165,3,45010,3,1,5000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,5162979316,,
851148214,PulteGroup Inc Charitable Foundation Inc,GA,,3512797,586531,134,3,23600,3,1,50000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8008391754,,
521907361,THE COLE FOUNDATION INC,MD,N/A,2225133,115800,185,3,7000,2,1,2000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,4102420600,,
943027928,THE LOZIER FOUNDATION,NE,N/A,458817281,16170901,1468,3,67500,2,1,2000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,4024578133,,
237087967,MAGEE-O'CONNOR FOUNDATION INC,IN,N/A,5317875,221600,200,3,37500,0,1,2500,0,,True,False,True,2023,keyword,False,2,CA Geography,,2604220800,,DOUGLAS E MILLER
371225688,VERMILION HEALTHCARE FOUNDATION,IL,VERMILIONHEALTHCAREFOUNDATION.ORG,12976484,454123,105,3,38000,0,1,10000,0,,True,False,True,2023,keyword,False,2,CA Geography,PY RETURNED CHECKS,2174317021,,CYNTHIA PECK
421422699,GARTNER FAMILY FOUNDATION,IA,N/A,7701088,438974,216,3,42500,0,1,1000,0,,True,False,True,2023,keyword,False,2,CA Geography,,5152796155,,GARTNER FAMILY FOUNDATION
463425308,FIRST FED FOUNDATION,WA,FIRSTFEDCF.ORG,5075281,620000,215,3,100000,0,1,25000,0,,True,False,True,2023,keyword,False,2,CA Geography,,3604173112,JAN.SIMON@FIRSTFEDCF.ORG,JAN SIMON
481296843,JAMES B & MELITA A MCDONOUGH,IA,www.mcdonoughcharitablefoundation.org,8655654,466367,404,3,10000,0,1,2349,0,,True,False,True,2024,keyword,False,2,CA Geography,INVESTMENT INCOME RECEIVABLE,5635870533,,MCDONOUGH FOUNDATION
546412915,JAMES L AND MARY JANE BOWMAN CHARITABLE,VA,N/A,,794297,45,3,60000,0,1,1500,0,,True,False,True,2022,keyword,False,2,CA Geography,,5408691800,,BEVERLEY B SHOEMAKER
742338471,DIANA AND HARRY W HAMILTON FOUNDATION,TX,N/A,445760,14460,63,3,11000,0,1,1000,0,,True,False,True,2023,keyword,False,2,CA Geography,PREPAID FEDERAL INCOME TAX,3618823090,,RICHARD THOMAS
363461484,STONE BARRETT FOUNDATION,IL,NONE,514721,72767,298,3,600,12,0,0,0,,False,True,True,2023,sibling,False,2,Open to Applicants,,3123687680,,
363305162,Patrick G and Shirley W Ryan Foundation,IL,N/A,78384236,7882608,583,3,985000,3,0,0,0,,False,True,True,2023,sibling,False,2,Open to Applicants,,3128936600,,
112648449,HANNAH & ROBERT JUDELSON FOUNDATION INC,NY,N/A,20579,5350,66,3,245,1,0,0,0,,False,True,True,2023,sibling,False,2,Open to Applicants,,6172751419,,
472381136,MITER CHARITABLE FOUNDATION,PA,HTTPS://WWW.MITERBRANDS.COM/FOUNDATION,11360880,872221,1068,2,1500,75,34,261203,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,7173653300,,
455154354,APPLE VALLEY YELLOW RIBBON NETWORK,MN,Applvallebeyondtheyellowribbon.org,12405,3899,54,2,411,1,26,10343,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,,,
202226224,THE WINIFRED AND WILLIAM O'REILLY,NY,https://www.insidephilanthropy.com/find-a-grant/major-donors/bill-oreilly,553,192200,209,2,15000,18,23,265500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,FILING FEES,2129496700,,
680398515,GRIFFIN PHOENIX FOUNDATION,CA,N/A,6310528,72400,254,2,800,65,20,13700,0,,False,True,True,2024,keyword,False,2,Open to Applicants,STATE FILING FEE,4158479667,,
753126055,LESLIE L ALEXANDER FOUNDATION INC,FL,N/A,317996694,23170335,1607,2,57500,39,12,677000,0,,False,True,True,2023,both,False,2,Open to Applicants,,5613683604,,
464310945,JOHN AND LINDA MACDONALD FOUNDATION,CA,N/A,12850251,457000,103,2,160000,31,12,315000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,9256401008,,
562453619,NEWALLIANCE FOUNDATION INC,CT,WWW.NEWALLIANCEFOUNDATION.ORG,32235093,1065701,993,2,500,0,12,96500,0,,True,False,True,2024,keyword,False,2,CA Geography,SECURITY DEPOSITS,2038596555,MOTT@NEWALLIANCEFOUNDATION.ORG,MARYANN OTT
271025634,Salmon Family Foundation,CA,https://www.bizprofile.net/ca/san-diego/the-salmon-family-foundation,406665,25051,171,2,1300,147,11,7000,0,,False,True,True,2024,keyword,False,2,Open to Applicants,Rounding,8586741040,,
271544616,THE MORTEN ANDERSEN FAMILY FOUNDATION INC,GA,MORTENANDERSEN.COMMAINFOUNDATION,8727,52284,100,2,7917,5,10,75310,0,,False,True,True,2023,keyword,False,2,Open to Applicants,POSTAGE,,,
953565278,THE BURNHAM FOUNDATION,CA,N/A,6040051,635426,232,2,20000,217,9,11000,0,,False,True,True,2024,keyword,False,2,Open to Applicants,NET UNREALIZED GAIN/LOSS ADJUSTMENT,8582231608,,
262419860,IRPAN & XIA FOUNDATION,CA,https: irpan-xia.com,416327,6387,263,2,100,126,9,502,0,,False,True,True,2024,keyword,False,2,Open to Applicants,mobile comm $2405.53 + Internet $448.44 + Dept of Just $25 + eGov AG reg $25,6504937231,,
561844198,EDDIE AND JO ALLISON SMITH,NC,N/A,294338522,6936158,1165,2,1500,17,9,209650,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2527522111,,
366971311,JAMES L GARARD JR CHARITABLE TR,IL,https://npfunds.com/directory/james-l-garard-jr-charitable-trust,1886558,237276,173,2,1000,4,9,12300,0,,False,True,True,2024,keyword,False,2,Open to Applicants,EXPENSES,8479986675,,
326007063,LEVI RAY & SHOUP FOUNDATION,IL,N/A,19771990,571425,299,2,2000,1,8,51000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2177933800,,
812893553,WCF FOUNDATION,UT,,8524138,1314284,181,2,50000,9,7,55000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,3853518147,,
841552161,PARKHOUSE FOUNDATION,CO,N/A,418223,33164,63,2,1500,1,7,6543,0,,False,True,True,2024,keyword,False,2,Open to Applicants,INVESTMENT FEES,7205298067,,
522081895,SAMI & ANNIE TOTAH FAMILY FOUNDATION,MD,N/A,3696442,112104,348,2,1200,34,6,1903,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2407443600,,
880291338,THE SI REDD & TAMARA REDD CHARITABLE,NV,N/A,696613,22600,163,2,2000,34,6,13500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,7022633600,,
943199137,BLANKMEYER FAMILY FOUNDATION,CA,N/A,80705,18322,56,2,500,19,6,1025,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,9253149799,,JON T BLANKMEYER
133762819,THE KARLSON FAMILY FOUNDATION,CT,N/A,,443489,276,2,1000,11,6,0,0,,False,True,True,2022,keyword,False,2,Open to Applicants,LICENSES & FEES,2032616781,,CHRISTOPHER J KOEHM CPA
900641891,The Jeff and Mary Walker Foundation,CO,N/A,13801,221380,161,2,67000,10,6,29000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,Postage,9709469006,,
201776736,Stoppini Foundation,PA,https://www.grantable.co/search/funders/profile/stoppini-foundation-us-foundation-201776736,256231,19046,293,2,88,8,6,300,0,,False,True,True,2023,keyword,False,2,Open to Applicants,Other Investment Income,5708627099,,
650286170,THE GIBNEY FAMILY FOUNDATION INC,ID,HTTP://WWW.TGFF.ORG/,29907485,865188,287,2,62434,8,6,71750,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8024885118,,
203553244,Edward and Janet Ahlstrand Family Found,CO,N/A,364334,17711,67,2,3500,3,6,5750,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,3037209986,,
331014741,CLAREMONT SAVINGS BANK FOUNDATION,NH,N/A,976314,107000,398,2,2500,0,6,13150,0,,True,False,True,2023,keyword,False,2,CA Geography,,6035427711,,LYNN SMITH
770557004,KLA FOUNDATION,CA,HTTPS://WWW.KLA.FOUNDATION/,,5196144,979,2,120000,330,5,41500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8106257404,,
752737278,THE LEISER FAMILY FOUNDATION INC,TX,N/A,936353,545331,155,2,154850,4,5,428171,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2143788200,,
351392974,HEALTHCARE INITIATIVES INC,IN,WWW.HEALTHCAREINITIATIVESINC.ORG,19909118,754841,327,2,7500,2,5,145000,0,,False,True,True,2024,keyword,False,2,Open to Applicants,OFFICE DEPOSIT,3178054869,,
466928315,VON VOIGTLANDER FAMILY FOUNDATION,MI,WWW.VVFAM.ORG,785128,44040,131,2,3400,0,5,8300,0,,True,False,True,2024,keyword,False,2,CA Geography,EXPENSES,4197251501,,JACQUELIN MOODY
946068932,EVELYN AND WALTER HAAS JR FUND,CA,WWW.HAASJR.ORG,469121844,14037940,1515,2,155000,1016,4,40000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,4158561400,,
680196507,VERLA REGNERY FOUNDATION,CA,N/A,443489,44056,198,2,750,153,4,5502,0,,False,True,True,2024,keyword,False,2,Open to Applicants,Filing Fees,4153887343,,
954505575,VAN KONYNENBURG FOUNDATION,CA,N/A,10675889,613996,224,2,10000,133,4,97600,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8189329300,,
954634200,Sun Shine On You Foundation,CA,N/A,19638620,971691,157,2,22500,130,4,11000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,3107861700,,
841411938,THE ZIONS BANCORPORATION FOUNDATION,UT,N/A,42797853,1447696,678,2,52500,75,4,67250,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8018447633,,
203106502,FORREST C & FRANCES H,RI,N/A,52989756,2106253,519,2,7000,41,4,55000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8025035056,DWHOLLENBECK@MAC.COM,FORREST C FRANCIS H LATTNER FOUNDAT
237685957,THE FORST FOUNDATION,PA,N/A,11981432,381323,899,2,1000,41,4,6890,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2158814639,,
823873556,ROBERT H AND ANN W BAKER FAMILY,CA,N/A,1964349,103500,38,2,4500,35,4,17500,0,,False,True,True,2024,keyword,False,2,Open to Applicants,,8059627725,,
943119143,MARK B WALLNER FOUNDATION,NV,N/A,1014494,8208,182,2,200,32,4,750,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,7029201215,,
256494383,KATHRYN J DINARDO TR FUND,PA,N/A,1618025,99500,98,2,40000,6,4,35000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,4123550200,,
752571811,JEFFREY A CARTER FOUNDATION,TX,N/A,1556628,48170,162,2,1500,6,4,1000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2149784006,,
061469074,THE WEATHERSTONE FAMILY FOUNDATION INC,CT,N/A,1490355,186000,79,2,30000,2,4,25300,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2036554432,,
562013753,ROSS ANGEL FOUNDATION,NC,N/A,4753290,212000,99,2,1000,2,4,2500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,3362922227,,
026005861,New Hampshire Ball Bearings Foundation,NH,NONE,122515,4803,18,2,3000,0,4,3300,0,,True,False,True,2023,keyword,False,2,CA Geography,,8184079300,jpetersen@nhbb.com,JAMES B PETERSEN
251721134,PROPERTY MANAGEMENT INC,PA,N/A,388282,26767,121,2,5000,0,4,2450,0,,True,False,True,2023,keyword,False,2,CA Geography,,7177307055,,DAVID E DYSON
562560595,MINNESOTA POWER FOUNDATION,MN,MNPOWER.COM/COMPANY/MPFOUNDATION,930458,500165,751,2,8000,0,4,15000,0,,True,False,True,2023,keyword,False,2,CA Geography,,2183553169,,MINNESOTA POWER FOUNDATION CO AIMEE
821558798,LEWIS-CLARK VALLEY HEALTHCARE FOUNDATION,ID,https://lewisclarkhealth.org,21936978,940188,364,2,20000,0,4,30000,0,,True,False,True,2023,keyword,False,2,CA Geography,,2086646448,info@lewisclarkhealth.org,Lewis-Clark Valley Healthcare Found
475546903,DCM FOUNDATION,MT,https://dcmfoundation.org,5547115,353851,177,2,3000,61,3,3000,0,,False,True,True,2024,keyword,False,2,Open to Applicants,FEDERAL INCOME TAX,7078152695,,
330436485,JEAN PERKINS FOUNDATION,NV,N/A,72014182,3268343,73,2,498122,58,3,535000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,7252356004,,
366081072,ALBEN F & CLARA G BATES FOUNDATION,IL,N/A,1547057,620000,1012,2,4000,44,3,28000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,6308321070,,
205919285,John P & Kathryn G Evans Foundation,WA,N/A,722284,106275,441,2,840,42,3,2160,0,,False,True,True,2023,keyword,False,2,Open to Applicants,BANK FEES,2069142435,,
473531124,THE R & C JACKSON CHARITABLE FDN 81-48344040,CA,,225401,1862,41,2,1650,27,3,4500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,4154977339,,
237108002,MAYBELLE CLARK MACDONALD FUND,OR,WWW.MCMFUNDGIVING.ORG,121963679,4478173,786,2,100000,7,3,90000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,5417280848,,
812026048,The Darien and Les Stephens,GA,N/A,43797,2250,37,2,875,5,3,803,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8173009750,,
341365357,STEEL VALLEY CHARITIES,OH,N/A,1838255,89378,236,2,500,3,3,450,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,7402643113,,
364067759,Mann Charitable Foundation,AZ,N/A,125104,6095,28,2,1000,2,3,3250,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,8477631200,,
232012011,DR IRVING S COOPER FAMILY FOUNDATION,FL,N/A,1554372,78600,52,2,15000,1,3,35000,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2394350034,,SISSEL COOPER BOS
456730024,JOHN A & MARY POLLOCK YANTA MEMORIAL TR,TX,,2400594,679150,466,2,200,1,3,300,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,,,
822299083,FIRST COMMUNITY FOUNDATION INC,TX,N/A,1564685,284275,273,2,7500,1,3,15500,0,,False,True,True,2023,keyword,False,2,Open to Applicants,,2545544352,,
356034243,THE LEIGHTON-OARE FOUNDATION INC,MI,N/A,20873780,711049,214,2,20000,0,3,607500,0,,True,False,True,2023,keyword,False,2,CA Geography,,2696876290,,ROBIN O BUTLER CURTIS
730664314,MCMAHON FOUNDATION,OK,N/A,47925524,2284868,202,2,19000,0,3,592396,0,,True,False,True,2023,keyword,False,2,CA Geography,,5803554622,,DANA PARISH
