ein,organization_name,contact_first_name,contact_email,state,ntee_code,mission_description,email_quality_tier,foundation_count,display_count,sector_label
300098388,ILLINOIS PARK AND RECREATION ASSOCIATION,Barbara,Vince@ilipra.org,IL,C30,"PROVIDE AND PROMOTE EXCEPTIONAL STANDARDS OF EDUCATION, NETWORKING, AND RESOURCES FOR ALL PROFESSIONALS IN THE ILLINOIS PARK, RECREATION, AND CONSERVATION COMMUNITIES.",A,191,75,Environment
020635703,A Village Green Montessori School Inc,Ann,vgmschool@icloud.com,IL,B21,"To provide programs of academic, spiritual, moral, artistic and physical education and training to children.",A,1250,75,Education
363752338,KAN-WIN,Ji,INFO@KANWIN.ORG,IL,P620,"KAN-WIN'S MISSION IS TO ERADICATE ALL FORMS OF VIOLENCE AGAINST WOMEN, INCLUDING DOMESTIC VIOLENCE AND SEXUAL ASSAULT, BY EMPOWERING ASIAN AMERICAN SURVIVORS AND ENGAGING THE COMMUNITY THROUGH CULTURALLY COMPETENT SERVICES, COMMUNITY EDUCATION AND OUTREACH, AND ADVOCACY.",A,798,75,Human Services
362837499,MUSIC OF THE BAROQUE,Declan,baroque@baroque.org,IL,A680,"MUSIC OF THE BAROQUE IS A PROFESSIONAL PERFORMING ARTS ORGANIZATION EXCELLING IN THE PERFORMANCE OF CHORAL AND ORCHESTRAL WORKS OF THE 17TH AND 18TH CENTURIES. THE ORGANIZATION ALSO EDUCATES 1200 CHICAGO PUBLIC SCHOOL STUDENTS EACH YEAR THROUGH ITS ""STRONG VOICES"" CHORAL EDUCATION PROGRAM.",A,592,75,Arts & Culture
203142622,LUTHERAN LEGACY FOUNDATION INC,Thomas,LLF@LutheranLegacyFoundation.org,IL,T31,"LUTHERAN LEGACY FOUNDATION INC (LLF) IS ORGANIZED EXCLUSIVELY FOR CHARITABLE, RELIGIOUS, EDUCATIONAL, AND SCIENTIFIC PURPOSES, INCLUDING MAKING DISTRIBUTIONS TO ORGANIZATIONS THAT QUALIFY AS EXEMPT ORGANIZATIONS UNDER SECTIONS 501(C)(3) OF THE INTERNAL REVENUE CODE, OR THE CORRESPONDING SECTION OF ANY FUTURE FEDERAL TAX CODE. THE PURPOSE OF THIS CORPORATION SHALL BE TO DISTRIBUTE FUNDS TO QUALIFIED CHARITABLE ORGANIZATIONS CONSISTENT WITH THE PURPOSES OF THE CORPORATION, SUBJECT TO ANY LIMITATIONS OR RESTRICTIONS STATED IN THE INSTRUMENT UNDER WHICH THE DONATION IS CONTRIBUTED TO THE CORPORATION.",A,465,75,Philanthropy
200293881,PROJECT VISION INC,Eric,staff@projectVISIONchicago.org,IL,O50,"PROJECT: VISION'S MISSION IS TO HELP YOUTH OF CHICAGO'S CHINATOWN, BRIDGEPORT, AND SURROUNDING COMMUNITIES ACHIEVE THEIR FULL POTENTIAL BY PROVIDING THEM WITH TOOLS FOR EDUCATIONAL, PERSONAL, AND CIVIC DEVELOPMENT.",A,366,75,Youth Development
134242224,CRYSTAL LAKE SOCCER FEDERATION,Kristian,krockall@clsf.org,IL,N64,Crystal Lake Soccer Federation is dedicated to the betterment of soccer for the children of McHenry County. They operate an affordable quality Recreational League and a Competitive Team Program for about 2000 children as well as a successful regional tournament.,A,407,75,Recreation
370888235,Tri-County Urban League,Alycia,TCUL@tcpul.com,IL,P22Z,"TO PROMOTE THE URBAN LEAGUE MOVEMENT THROUGH INTERRACIAL COOPERATION. TO ADVANCE THE REGIONAL ECONOMY AND QUALITY OF LIFE IN CENTRAL ILLINOIS BY PROMOTING EDUCATION AND IMPROVING THE EMPLOYABILITY SKILLS, SELF-SUFFICIENCY, AND SOCIAL WELL-BEING OF PEOPLE IN NEED.",A,798,75,Human Services
364092149,Instituto Cervantes of Chicago Inc,Anastasio,info.chicago@cervantes.org,IL,A230,"Founded by the Government of Spain to promote Spanish language teaching and knowledge of the cultures of Spanish speaking countries throughout the world with a mission to promote, study and use of Spanish as a second language. The Organization promotes performing arts, music, literature, and cinema from the spanish-speaking world through performances, lectures and symosiums, often in partnership with other cultural and educational organizations throughout Chicago.",A,592,75,Arts & Culture
363143810,KANKAKEE TRINITY ACADEMY,Tom,sharman@k3trinityacademy.org,IL,B20,PROVIDING QUALITY EDUCATION FOR GRADES PK-12,A,1250,75,Education
203768653,QUAD CITIES AUTISM CENTER,Michelle,michelle@qcautismcenter.org,IL,G84,"QUAD CITIES AUTISM CENTER'S PURPOSE IS TO PROVIDE EDUCATION, GUIDANCE, AND RESOURCES TO PARENTS AND CHILDREN AFFECTED BY AUTISM AND TO OFFER ONE-ON-ONE INSTRUCTIONS TO DEVELOP AND ENHANCE THE LIVES OF OUR CHILDREN BY GIVING THEM HOPE AND A BRIGHTER FUTURE.",A,823,75,Disease/Disorder
362667869,NORTH CENTRAL ILLINOIS FINISHING TRADES,Stephen,vperez@pdc30.com,IL,B30,THE NORTH CENTRAL ILLINOIS FINISHING TRADES INSTITUTE EMPOWERS CRAFTSPERSONS THROUGH EDUCATION AND SKILLS TRAINING TO PREPARE THEM FOR CONTINUOUS EMPLOYMENT IN THE UNIONIZED FINISHING TRADES.,A,1250,75,Education
271822749,THE AMERICAN WRITERS MUSEUM,Carey,advertising@americanwritersmuseum.org,IL,A70,"THE MISSION OF THE AMERICAN WRITERS MUSEUM IS TO ENGAGE THE PUBLIC IN CELEBRATING AMERICAN WRITERS AND EXPLORING THEIR INFLUENCE ON OUR HISTORY, OUR IDENTITY, OUR CULTURE, AND OUR DAILY LIVES.",A,592,75,Arts & Culture
371078407,REND LAKE COLLEGE FOUNDATION,Charles,Foundation@rlc.edu,IL,B41I,TO AWARD SCHOLARSHIPS TO STUDENTS ATTENDING REND LAKE COLLEGE AND ENHANCE THE CULTUREAL CONTRIBUTIONS OF THE COLLEGE TO STUDENTS AND AREA RESIDENTS.,A,1250,75,Education
363037232,ROCK VALLEY COLLEGE FOUNDATION,Robert,RVC-PublicRelations@RockValleyCollege.edu,IL,B42I,THE ROCK VALLEY COLLEGE FOUNDATION'S MISSION IS TO BUILD REGIONAL RELATIONSHIPS AND SECURE RESOURCES TO ADVANCE RVC AND ITS STUDENTS.,A,1250,75,Education
362070116,EVANSTON ART CENTER,Paula,pdanoff@evanstonartcenter.org,IL,A25Z,"TO ENRICH NEARBY AND SURROUNDING COMMUNITY LIFE BY PROVIDING PROGRAMSOF EDUCATION, ART APPRECIATION, CREATION AND EXHIBITION OF THE ARTS.",A,592,75,Arts & Culture
363636933,WELLNESS HOUSE,Lisa,information@wellnesshouse.org,IL,G30Z,"WELLNESS HOUSE ENVISIONS A COMMUNITY WHERE ALL PEOPLE AFFECTED BY CANCER THRIVE. OFFERED AT NO COST, AND AS A COMPLEMENT TO MEDICAL TREATMENT, OUR PROGRAMS EDUCATE, SUPPORT AND EMPOWER PARTICIPANTS SO THEY WILL IMPROVE THEIR PHYSICAL AND EMOTIONAL WELL-BEING.",A,823,75,Disease/Disorder
824446544,OTV Open Television Inc,Elijah,developer@weareopen.tv,IL,A32,"Research and development through ARTIST DEVELOPMENT, COMMUNITY DEVELOPMENT and Research.",A,592,75,Arts & Culture
452661390,THE SOCIETY OF AMERICAN ARCHIVISTS,Jacqualine,jpillard@archivists.org,IL,T11,"THE SAA FOUNDATION RAISES MONEY TO PROVIDE RESOURCES TO ENHANCE THE WORK OF THE ARCHIVAL COMMUNITY. TO THAT END, THE SAA FOUNDATION WILL SUPPORT: RESEARCH AND REPORTING ABOUT THE PROFESSION, ITS PRACTICE, AND ITS PRACTITIONERS; DEVELOPMENT OF PROFESSIONAL GROWTH OPPORTUNITIES; RECOGNITION OF ARCHIVISTS VIA SCHOLARSHIPS, TRAVEL ASSISTANCE, AND AWARDS; PROGRAMS TO ENHANCE THE PERFORMANCE OF REPOSITORIES; AND EFFORTS TO PERSUADE INFLUENTIAL EXTERNAL ORGANIZATIONS TO CREATE OR PROMOTE ARCHIVES.IN ADDITION, THE SAA FOUNDATION WILL SEEK TO STRENGTHEN ITSELF BY ENHANCING ITS ACCOUNTABILITY, DEVELOPMENT, AND GOVERNANCE.",A,465,75,Philanthropy
882226986,CONSORTIUM OF STATE SCHOOL BOARDS,Andrea,hello@cossba.org,IL,B01,"THE CORE PURPOSE OF THE CONSORTIUM IS TO FORM, SERVE, AND EMPOWER A NATIONAL, NON-PARTISAN ALLIANCE OF STATE SCHOOL BOARDS ASSOCIATIONS THAT ARE DEDICATED TO ENSURING PUBLIC SCHOOL BOARD LEADERS OBTAIN HIGH QUALITY TRAINING AND SUPPORT IN ORDER TO PROVIDE EXCELLENT AND EQUITABLE PUBLIC EDUCATION IN LOCAL COMMUNITIES THROUGHOUT THE NATION.",A,1250,75,Education
364451498,ALTERNATIVE ACADEMIC ACHIEVMENT,Patrice,pjackson@aaaacademy.org,IL,B28,"PROVIDING AN ENVIRONMENT FOR THE SUCCESSFUL EDUCATION OF CHILDREN WHO HAVE DISCIPLINE PROBLEMS, EXPOSING THESE CHILDREN TO QUALITY LEARNING TECHNIQUES IN THE AREAS OF READING, MATH, SCIENCE, HISTORY, AS WELL AS PHYSICAL EDUCATION ACTIVITIES",A,1250,75,Education
362883552,Family Shelter Service Inc,Ricardo,contactus@metrofamily.org,IL,P11,"Provide temporary shelter, counseling, legal support, and telephone hotline for victims of domestic violence. Family Shelter Service, Inc. provides funding to Metropolitan Family Services to help fulfill its exempt purpose.",A,798,75,Human Services
311051434,STRATEGIC MANAGEMENT SOCIETY INC,Barbara,sms@strategicmanagement.net,IL,B95Z,"THE STRATEGIC MANAGEMENT SOCIETY, INC. (SOCIETY) IS A NOT-FOR-PROFIT MEMBERSHIP ORGANIZATION REPRESENTING OVER 3,000 ACADEMICS, BUSINESS PRACTITIONERS, AND CONSULTANTS FROM MORE THAN 80 DIFFERENT COUNTRIES WHO ARE DEDICATED TO THE DEVELOPMENT AND DISSEMINATION OF INSIGHTS ON THE STRATEGIC MANAGEMENT PROCESS, AS WELL AS ON FOSTERING CONTRACTS AND INTERCHANGE AROUND THE WORLD.",A,1250,75,Education
364164937,FAMILY CENTERED EDUCATIONAL AGENCY,Jonathan,mmiller@familycentered.org,IL,J21,"TO PROVIDE EDUCATION TO FAMILIES THROUGH HOLISTIC COMMUNITY/ECONOMIC DEVELOPMENT, AND HUMAN SERVICES.",A,159,75,Employment
363374370,SHELTER CARE MINISTRIES,Sarah,ddismuke@shelter-care.org,IL,L41Z,"IT IS OUR MISSSION TO PROVIDE SHELTER, AWAKEN HOPE AND HONOR DIGNITY IN EVERY PERSON WHO SEEKS COMFORT, SUPPORT OR ASSISTANCE THROUGH OUR PROGRAMS.",A,275,75,Housing
311069575,PHOENIX THEATRE INC,Abhijeet,boxoffice@phoenixtheatre.org,IN,A650,"PHOENIX THEATRE SERVES AS A CATALYST IN THE INDIANAPOLIS REGION TO HELP NURTURE NEW TALENT, SHOWCASE DIVERSE VOICES, AND ENGAGE AUDIENCES WITH UNIQUE, CONTEMPORARY PRODUCTIONS.",A,289,75,Arts & Culture
350876341,LEAGUE FOR THE BLIND AND DISABLED,John,the-league@the-league.org,IN,G41Z,TO PROVIDE AND PROMOTE OPPORTUNITIES THAT EMPOWER PEOPLE WITH DISABILITIES TO ACHIEVE THEIR POTENTIAL. THE AGENCY DOES THIS BY PROVIDING INDIVIDUALIZED SERVICES AND ADVOCATING IMPROVEMENTS IN COMMUNITY CONDITIONS.,A,115,75,Disease/Disorder
351916572,NEIGHBORHOOD CHRISTIAN LEGAL CLINIC INC,Erin,contactus@nclegalclinic.org,IN,I83,TO PROMOTE JUSTICE THROUGH LEGAL REPRESENTATION AND EDUCATION FOR OUR LOW INCOME NEIGHBORS AS A WAY OF DEMONSTRATING CHRIST'S LOVE.,A,103,75,Crime/Legal
351774217,PARAMOUNT HERITAGE FOUNDATION INC,Evan,boxoffice@andersonparamount.org,IN,A610,"PROMOTION OF THE ARTS AND ENTERTAINMENT THROUGH THE RESTORATION AND OPERATION OF A HISTORICAL THEATRE. ALSO, TO PROVIDE FACILITIES FOR LITERARY, EDUCATIONAL, CULTURAL AND CHARITABLE ORGANIZATIONS TO CONDUCT THEATRICAL PRESENTATIONS OF VARIOUS THEATRE TROUPS, DANCE COMPANIES, WELL KNOWN ORCHESTRAS, MUSICAL ENSEMBLES AND OTHER FORMS OF ARTISTIC ENTERTAINMENT TO PROMOTE THE AWARENESS AND APPRECIATION FOR SUCH ENDEAVORS THROUGHOUT THE COMMUNITY AS A WHOLE. TO FURTHER PROMOTE AND ENCOURAGE SUCH ORGANIZATIONS AND TO RAISE FUNDS FOR THE SUPPORT AND MAINTENANCE OF SUCH FACILITIES, OTHER ORGANIZATIONS AND THEIR ACTIVITIES FOR THE BENEFIT OF THE PUBLIC.",A,289,75,Arts & Culture
351964901,NICHES LAND TRUST INC,William,niches@nicheslandtrust.org,IN,C30,"NICHES PROTECTS, RESTORES AND SUSTAINS NORTHERN INDIANA'S ECOSYSTEMS BY PROVIDING HABITAT FOR NATIVE SPECIES AND OFFERING NATURAL PLACES FOR THE EDUCATION, APPRECIATION AND ENJOYMENT OF CURRENT AND FUTURE GENERATIONS.",A,103,75,Environment
351382793,INDIANA RESOURCE CENTER FOR,Eric,insource@insource.org,IN,B28A,"THE MISSION OF INSOURCE IS TO PROVIDE PARENTS, FAMILIES, INDIVIDUALS AND SERVICE PROVIDERS IN THE STATE OF INDIANA THE INFORMATION AND TRAINING NECESSARY TO HELP ASSURE EFFECTIVE EDUCATIONAL PROGRAMS AND APPROPRIATE SERVICES FOR INDIVIDUALS WITH DISABILITIES.",A,852,75,Education
262158745,GREAT HARVEST FOOD PANTRY INC,Ruben,Indyqueenie@yahoo.com,IN,X99,"THE MISSION OF GREAT HARVEST FOOD PANTRY IS TO CREATE ACCESS TO GOOD, HEALTHY FOOD IN EVERY COMMUNITY AND PROVIDE SUPPORT ONE NEEDS DURING A TIME OF NEED. IN ADDITION, WE LOVE TO PARTNER WITH THE OTHER ORGANIZATIONS TO HELP THEM ACCOMPLISH THEIR VISION OF HELPING OTHERS. WE BELIEVE THAT ACCESS TO FOOD IS A BASIC HUMAN RIGHT. WE ARE COMMITTED TO RESPONDING TO THE NEEDS OF OUR COMMUNITY THROUGH FOOD DISTRIBUTION AND SUPPORT SERVICES. INDIANA DIAPER SOURCE, A DBA OF GREAT HARVEST FOOD PANTRY, IS COMMITTED TO IMPROVING THE PHYSICAL, MENTAL AND ECONOMIC WELL-BEING OF FAMILIES WITH DIAPER AGE CHILDREN BY PROVIDING DIAPERS AND DIAPERING ESSENTIALS TO THOSE IN NEED.",A,159,75,Religion
421748310,NICARAGUA RESOURCE NETWORK INC,Coleman,board@nicaresourcenet.org,IN,Q30,"TO FULFILL JESUS' COMMAND TO LOVE GOD AND TO ""LOVE YOUR NEIGHBOR AS YOURSELF"" BY GIVING OF OUR TIME, TALENTS, AND RESOURCES TO ADDRESS THE SPIRITUAL, PHYSICAL, MEDICAL, AND EDUCATIONAL NEEDS OF IMPOVERISHED CHILDREN AND FAMILIES IN NICARAGUA.",A,143,75,International
351854805,PRIVATE ACADEMIC LIBRARY NETWORK OF,Kirsten,staff@palni.edu,IN,B700,THE LIBRARIES OF THE PRIVATE ACADEMIC LIBRARY NETWORK OF INDIANA (PALNI) COLLABORATE TO ENHANCE THE TEACHING AND LEARNING MISSIONS OF PRIVATE HIGHER EDUCATION IN INDIANA BY OPTIMIZING RESOURCES AND SERVICES WHILE STRENGTHENING LEADERSHIP AND PROFESSIONAL DEVELOPMENT.,A,852,75,Education
474673365,GREENE COUNTY HEALTH INC,Corianne,administrator@gc-health.org,IN,E20,"THE ORGANIZATION PROVIDES MEDICAL SERVICES TO AREA RESIDENTS. WITH TWO LOCATIONS IN GREENE COUNTY, INDIANA, THE PHYSICIANS, ADVANCE PRACTICE PROVIDERS AND OTHER HEALTHCARE PROFESSIONALS PROVIDE FAMILY PRACTICE CARE FOR THE AREA'S RESIDENTS.",A,199,75,Health
351557200,Southeast Neighborhood Development Inc,Kelli,send@sendcdc.org,IN,S21Z,"Southeast Neighborhood Development, Inc. (SEND) is a non-profit community development corporation that advocates for housing, economic, and social equity by working with residents, business owners, and community partners to create and maintain inclusive, healthy, and vibrant neighborhoods in southeast Indy. Since 1983, we've invested more than $40 million in development projects in our community while improving housing, attracting business and investment, fostering education, sponsoring unique events, and helping spread the word about all the good things going on in our neighborhood.",A,117,75,Community Improvement
352010882,GARRETT COMMUNITY CENTER,Cheryl,hello@reusserdesign.com,IN,P33,"TO CELEBRATE AND STRENGTHEN THE VIBRANT COMMUNITY BY CONNECTING PEOPLE AND ORGANIZATIONS THROUGH ACTIVITIES THAT IMPROVE THE QUALITY OF LIFE FOR THE GREATER GARRETT, INDIANA AREA.",A,375,75,Human Services
352144155,INDIANA CANINE ASSISTANT NETWORK INC,Jillian,ican@icandog.org,IN,E60,ICAN TRAINS AND PLACES ASSISTANCE DOGS WITH INDIVIDUALS WITH DISABILITIES AND PROVIDES FOUNDATIONAL LIFE SKILLS TO INMATES THROUGH THEIR EXPERIENCES AS TRAINERS.,A,199,75,Health
351148133,CHILDREN INC,Jill,jharden@childreninclearningcenter.com,IN,P330,"CHILDREN INC. PROVIDES A HIGH QUALITY, SAFE, STIMULATING, SOCIAL, EMOTIONAL AND EDUCATIONAL FOUNDATION FOR THE CHILDREN IN OUR COMMUNITY.",A,375,75,Human Services
351359445,MEMORIAL HOSPITAL FOUNDATION INC,Deidra,mhf@mhhcc.org,IN,E11,MEMORIAL HOSPITAL FOUNDATION OPERATES FOR THE BENEFIT OF MEMORIAL HOSPITAL AND HEALTH CARE CENTER AND FOLLOWS THE MISSION OF THE SISTERS OF THE LITTLE COMPANY OF MARY.VISION STATEMENT: WE STRIVE TO PROVIDE RESOURCES THAT ENHANCE MEMORIAL HOSPITAL'S ABILITY TO TRANSFORM LIVES AND ACHIEVE ITS VISION.,A,199,75,Health
203707253,MONTESSORI ACADEMY AT GEIST INC,Cynthia,jgosch@gma.k12.in.us,IN,B29,"THE MONTESSORI ACADEMY AT GEIST PROVIDES AN ACADEMICALLY AND CULTURALLY RICH EDUCATIONAL ENVIRONMENT THAT ALLOWS CHILDREN TO ACQUIRE KNOWLEDGE IN A NON-COMPETITIVE, INDIVIDUALIZED MANNER. WE RECOGNIZE THAT MANY ENVIRONMENTAL FACTORS ACT UPON THE DEVELOPMENT OF THE CHILD, AND SEEK TO PREPARE A SCHOOL ENVIRONMENT THAT ENCOURAGES JOYFUL LEARNING, AND GREATER EXPLORATION OF THE COMMUNITY AND THE WORLD. ACADEMICS INTEGRATE WITH CHARACTER BUILDING AND COMMUNITY AWARENESS TO FORM A WHOLE-CHILD CURRICULUM.",A,852,75,Education
540524844,Future Farmers of America,Donny,toglesby@ohioffa.org,IN,O52Z,"FFA MAKES A POSITIVE DIFFERENCE IN THE LIVES OF STUDENTS BY DEVELOPING THEIR POTENTIAL FOR PREMIER LEADERSHIP, PERSONAL GROWTH AND CAREER SUCCESS THROUGH AGRICULTURAL EDUCATION.",A,163,75,Youth Development
351157722,Bloomington Montessori Association Inc,Allison,headofschool@montessori.k12.in.us,IN,B21Z,Primary/Elementary Education,A,852,75,Education
352086312,HORSESHOE FOUNDATION OF FLOYD COUNTY INC,Josh,staff@CaesarsFoundationFC.org,IN,W112,"TO PROVIDE GRANTS TO SUPPORT NON PROFIT ORGANIZATIONS, SCHOOLS, AND GOVERNMENT AGENCIES IN NEW ALBANY AND FLOYD COUNTY, INDIANA; TO PROVIDE SCHOLARSHIPS FOR POST SECONDARY EDUCATION TO DESERVING STUDENTS WHO LIVE WITHIN THE COUNTY AND WHO DESIRE TO PURSUE A HIGHER EDUCATION; AND TO PROVIDE LOANS TO SMALL BUSINESSES.",A,50,50,Public Policy
237063427,TRIANGLE EDUCATION FOUNDATION,Scott,tef@triangle.org,IN,B83Z,"TO OPERATE FOR THE FURTHERANCE OF EDUCATION BY MAKING LOANS, GRANTS OR SCHOLARSHIPS TO WORTHY STUDENTS, THE PROVIDING AND ENHANCEMENT OF EDUCATIONAL PROGRAMS, FACILITIES, TECHNIQUES AND CURRICULA, OR OTHERWISE MANAGE FUNDS AND GIFTS TO ACHIEVE THESE PURPOSES.",A,852,75,Education
356018517,RILEY CHEER GUILD INC,Ann,RILEYCHEERGUILD@IUHEALTH.ORG,IN,E60,TO SUPPORT HOSPITAL PROGRAMS THAT ENHANCE THE EXPERIENCE OF A HOSPITAL STAY FOR PATIENTS AND THEIR CAREGIVERS WHILE AT ONE OF THE HOSPITALS OR CLINICS WITHIN THE IU HEALTH SYSTEM.,A,199,75,Health
352031658,INDIANA DUNES ENVIRONMENTAL LEARNING,Geof,curious@duneslearningcenter.org,IN,C600,"TO PROMOTE ENVIRONMENTAL EDUCATION, STEWARDSHIP OF NATURAL RESOURCES, SUSTAINABLE DEVELOPMENT, AND ENHANCED QUALITY OF LIFE.",A,103,75,Environment
352135367,ROSIE'S TINY TOTS INC,Rosie,we.educate@rosiestinytots.org,IN,P33,"THE MISSION OF OUR ORGANIZATION IS TO PROVIDE A SPIRITUAL, EDUCATIONAL, AND CONDUCIVE LEARNING ENVIRONMENT FOR CHILDREN AND OUTREACH MINISTRIES FOR FAMILIES IN NEED.",A,375,75,Human Services
136141078,ALPHA EPSILON PI FOUNDATION INC,Edward,cparker@aepi.org,IN,B83Z,"TO PROMOTE THE IDEALS AND VALUES OF THE ALPHA EPSILON PI FRATERNITY THROUGH LEADERSHIP DEVELOPMENT, TO PARTNER WITH EDUCATIONAL AND JEWISH COMMUNAL ORGANIZATIONS, TO PROVIDE SCHOLARSHIPS, FINANCIAL SUPPORT AND PROGRAMMING FOR THE BETTERMENT OF OUR BROTHERS AND OUR COMMUNITY.",A,852,75,Education
274237221,Starfish Project Incorporated,Jenny,support@gist-apps.com,IN,P20,"Restoring hope to exploited women through socially responsible business. Starfish Project, Inc. provides women alternative employment making jewelry and home goods that is sold to help provide counseling, education, health care, as well as food and shelter.",A,375,75,Human Services
743105998,The Potter's Wheel Inc,Chris,pw@potterswheelministries.com,IN,X20,"Through Christ, we love, equip and empower neighborhood families to thrive.",A,159,75,Religion
310989298,KIDDIE PREP SCHOOL INC,Madison,misskimberly@kiddieprepschool.org,IN,P33Z,GROWING THE KINGDOM WITH MINISTRY AND EDUCATION FOR CHILDREN AND FAMILIES.,A,375,75,Human Services
356064277,MONROE COUNTY HUMANE ASSOCIATION,Audrey,mcha@monroehumane.org,IN,D200,"MCHA SUPPORTS AND ADVOCATES FOR THE WELFARE OF COMPANION ANIMALS AND THE HUMAN-ANIMAL BOND THROUGH ANON-PROFIT VETERINARY CLINIC, EDUCATION, AND COMMUNITY OUTREACH PROGRAMS.",A,181,75,Animal-Related
452432009,CERA SPORTS CORPORATION INC,James,ceraland@ceraland.org,IN,N20,"CERA PROVIDES SAFE, HIGH-QUALITY FACILITIES AND PROGRAMS THAT PROMOTE RECREATION",A,156,75,Recreation
351873572,FOUNDATION FOR FRATERNAL EXCELLENCE INC,Ashley,foundation@foundationfe.org,IN,Z99Z,"FFE ADVANCES THE FRATERNAL MOVEMENT BY CULTIVATING A CULTURE OF PHILANTHROPY AND ENHANCING THE SOPHISTICATION OF FRATERNAL FOUNDATIONS. WE DELIVER ON THIS MISSION BY SUPPORTING OUR MEMBER FOUNDATIONS' ASSOCIATED PROFESSIONALS AND VOLUNTEERS THROUGH OUR CORE PRIORITIES OF CULTURE OF CARE, CONNECTION, AND RESEARCH.",A,31,30,Unknown
270221443,STAR EDUCATIONAL MEDIA NETWORK INC,Adam,melissa@star883.com,IN,A34,"THE PURPOSE OF STAR EDUCATIONAL MEDIA NETWORK, A BROADCAST MEDIA OUTLET, IS TO UPLIFT AND ENCOURAGE ITS AUDIENCE FOR THE ADVANCEMENT OF THE GOSPEL THROUGH SEVERAL DISTRIBUTION CHANNELS INCLUDING RADIO AND THE INTERNET.",A,289,75,Arts & Culture
351884264,Erins House for Grieving Children Inc,Debra,Info@ErinsHouse.org,IN,O50Z,"Erin's House provides support services for children, teens and their families who have suffered the death of a loved one.",A,163,75,Youth Development
800232715,COMMUNITY CHRISTIAN SCHOOL OF,Pastor,ctarjette@barabooccs.com,IN,B24,THE COMMUNITY CHRISTIAN SCHOOL EXISTS TO PROVIDE AN EXCELLENT ACADEMIC INSTRUCTION THAT IS CONSISTENT WITH NATIONAL AND STATE STANDARDS AND HONORS A FAITH-BASED IDEAL. TO ACCOMPLISH THE GOALS OF THIS SCHOOL WE SEEK TO EXEMPLIFY THE FOLLOWING: ACADEMIC EXCELLENCE SOUND STEWARDSHIP COMMITTED FACULTY PARENTAL PARTNERSHIP STUDENT OPPORTUNITIES IT IS OUR PURPOSE AT COMMUNITY CHRISTIAN SCHOOL TO PLAY A MAJOR ROLE IN MOLDING THE LIVES OF YOUNG PEOPLE SO THEY WILL BE SPIRITUALLY AND ACADEMICALLY QUALIFIED TO ASSUME THEIR PROPER ROLE IN SOCIETY UPON GRADUATION.,A,852,75,Education
351275252,HUFFER MEMORIAL CHILDREN'S CENTER INC,Ashley,twalden@huffermcc.org,IN,P33Z,TO PROVIDE DAY CARE SERVICES FOR NEEDY FAMILIES.,A,375,75,Human Services
480926092,NEOSHO COUNTY COMMUNITY COLLEGE,Jennifer,housing@neosho.edu,KS,B82Z,"THE NEOSHO COUNTY COMMUNITY COLLEGE FOUNDATION CREATES AND FOSTERS TRUSTWORTHY COMMUNITY PARTNERSHIPS THAT SUPPORT AND ADVANCE THE COLLEGE'S MISSION OF PROVIDING QUALITY EDUCATIONAL PROGRAMS, SERVICES, AND ACTIVITIES FOR ITS STUDENTS AND THE COMMUNITY BY MANAGING, SOLICITING AND ADMINISTERING GIFTS OF MONEY AND/OR PROPERTY FOR SCHOLARSHIPS, PROGRAMS, FACILITIES, CAPITAL IMPROVEMENTS AND ENDOWMENT.",A,431,75,Education
480861281,WICHITA AREA SEXUAL ASSAULT CENTER INC,Kathy,advocate@wichitasac.com,KS,F42Z,WICHITA AREA SEXUAL ASSAULT CENTER WORKS WITH INDIVIDUALS AND COMMUNITIES THROUGH COMPREHENSIVE SERVICES AND EDUCATION TO CREATE A CULTURE OF INTOLERANCE FOR SEXUAL VIOLENCE AND AN ATMOSPHERE OF HEALING FOR THOSE IMPACTED BY IT.,A,75,75,Mental Health
481190090,OLATHE PUBLIC SCHOOLS FOUNDATION,Matt,foundation@olatheschools.org,KS,B94,CONNECTING FINANCIAL AND VOLUNTEER RESOURCES TO THE OLATHE DISTRICT SCHOOLS TO RECOGNIZE AND ENHANCE EDUCATIONAL EXCELLENCE.,A,431,75,Education
453417512,KSU Charitable Real Estate Foundation,Larry,giving@ksufoundation.org,KS,B114,"ACCEPTING, HOLDING, AND MANAGING REAL PROPERTY FOR KANSAS STATE UNIVERSITY FOUNDATION.",A,431,75,Education
474465692,CARING COMMUNITY FOUNDATION INC,Jay,vramage@ccfks.org,KS,P12,"THE CARING COMMUNITY FOUNDATION IS ORGANIZED EXCLUSIVELY FOR CHARITABLE, RELIGIOUS, EDUCATIONAL, AND SCIENTIFIC PURPOSES, INCLUDING FOR SUCH PURPOSES, THE MAKING OF DISTRIBUTIONS TO ORGANIZATIONS THAT QUALIFY AS EXEMPT ORGANIZATIONS DESCRIBED UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE, OR CORRESPONDING SECTION OF ANY FUTURE FEDERAL TAX CODE.",A,463,75,Human Services
