beta_client_ein,shared_funder,peer_org_name,peer_org_ein,peer_org_state,sector_hint,grant_amount,outreach_angle,source
061468129,THE SMART FAMILY FUND,LETS GET READY INC,311698832,NY,LETS GET READY - ONGOING GRANT 2023,100000.00,Shared funder: THE SMART FAMILY FUND,F990
061468129,THE SMART FAMILY FUND,MARET SCHOOL INC,530211355,DC,CAPITAL CAMPAIGN,75000.00,Shared funder: THE SMART FAMILY FUND,F990
061468129,THE SMART FAMILY FUND,HORIZONS GREATER WASHINGTON INC,271476998,DC,OPERATIONAL SUPPORT 2022 - YEAR 2 OF 3,60000.00,Shared funder: THE SMART FAMILY FUND,F990
061468129,THE SMART FAMILY FUND,HORIZONS GREATER WASHINGTON INC,271476998,DC,2024 ANNUAL SUPPORT YEAR 3/3,60000.00,Shared funder: THE SMART FAMILY FUND,F990
061468129,THE SMART FAMILY FUND,CAREER TECHNICAL EDUCATION SOLUTIONS,872162581,OH,CAREER TECHNICAL EDUCATION SOLUTIONS (CTES) - INITIAL GRANT 2023,50000.00,Shared funder: THE SMART FAMILY FUND,F990
061468129,THE SMART FAMILY FUND,GREATER WASHINGTON COMMUNITY FOUNDATION,237343119,DC,2024 ANNUAL SUPPORT,50000.00,Shared funder: THE SMART FAMILY FUND,F990
061468129,Adam R Scripps Foundation,Scripps Research Institute,330435954,CA,support three research programs,1865000.00,Shared funder: Adam R Scripps Foundation,F990
061468129,Adam R Scripps Foundation,Scripps Health Foundation,951684089,CA,equipment needs,1230000.00,Shared funder: Adam R Scripps Foundation,F990
061468129,Adam R Scripps Foundation,Feeding Texas,742762542,TX,Cold storage facility & general operations,900000.00,Shared funder: Adam R Scripps Foundation,F990
061468129,Adam R Scripps Foundation,Central Texas Food Bank,742217350,TX,General Operations,550000.00,Shared funder: Adam R Scripps Foundation,F990
061468129,Adam R Scripps Foundation,Mobile Loaves & Fishes,742956081,TX,Phase III of Community First! Village and General Operations Support,500000.00,Shared funder: Adam R Scripps Foundation,F990
061468129,Adam R Scripps Foundation,Hill Country Community Needs Council,742276776,TX,Little Hearts Child Development Center,500000.00,Shared funder: Adam R Scripps Foundation,F990
061468129,Adam R Scripps Foundation,EAA Aviation Foundation Inc,391033301,WI,General operations,500000.00,Shared funder: Adam R Scripps Foundation,F990
061468129,Adam R Scripps Foundation,College Possible,411968798,MN,scholarship support,394600.00,Shared funder: Adam R Scripps Foundation,F990
061468129,Adam R Scripps Foundation,Friends of Cibolo Wilderness,742564700,TX,conservation department expansion,350000.00,Shared funder: Adam R Scripps Foundation,F990
061468129,Adam R Scripps Foundation,Cincinnati Public Radio,311410636,OH,general operations,333333.00,Shared funder: Adam R Scripps Foundation,F990
